[2026-05-11 21:51:42] #0001/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:05:17] #0294/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.127 conf=0.680 gap=0.530
[2026-05-11 23:05:54] #0297/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:06:41] #0300/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:06:50] #0301/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 23:07:18] #0303/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.962 conf=0.750 gap=0.650
[2026-05-11 23:07:44] #0305/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.246 conf=0.550 gap=0.270
[2026-05-11 23:07:50] #0306/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:07:59] #0307/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:09:00] #0309/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.138 conf=0.650 gap=0.450
[2026-05-11 23:09:12] #0310/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-11 23:09:35] #0311/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:10:09] #0313/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:10:25] #0314/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-11 23:10:34] #0315/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:10:44] #0316/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:11:01] #0317/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-11 23:11:40] #0320/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:12:00] #0321/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.180 conf=0.650 gap=0.470
[2026-05-11 23:12:17] #0323/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:12:27] #0324/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:12:31] #0325/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.071 conf=0.450 gap=0.000
[2026-05-11 23:12:35] #0326/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:12:44] #0327/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.034 conf=0.700 gap=0.550
[2026-05-11 23:12:48] #0328/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.158 conf=0.600 gap=0.400
[2026-05-11 23:13:26] #0329/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.119 conf=0.650 gap=0.500
[2026-05-11 23:13:45] #0331/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:13:57] #0332/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.438 gap=0.000
[2026-05-11 23:14:03] #0333/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:14:18] #0334/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:14:21] #0335/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.680 conf=0.250 gap=0.000
[2026-05-11 23:15:15] #0336/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:15:19] #0337/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:15:29] #0338/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 23:15:48] #0339/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 23:15:53] #0340/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 23:16:17] #0341/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:16:21] #0342/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:16:28] #0343/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.061 conf=0.700 gap=0.550
[2026-05-11 23:19:39] #0345/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.873 conf=0.750 gap=0.600
[2026-05-11 23:19:55] #0346/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-11 23:19:58] #0347/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:20:01] #0348/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.375 conf=0.350 gap=0.050
[2026-05-11 23:21:17] #0351/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:21:25] #0352/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.061 conf=0.700 gap=0.580
[2026-05-11 23:21:28] #0353/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:22:13] #0356/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:24:13] #0358/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:24:22] #0359/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.146 conf=0.700 gap=0.600
[2026-05-11 23:25:43] #0363/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.056 conf=0.700 gap=0.550
[2026-05-11 23:26:23] #0366/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.689 conf=0.350 gap=0.050
[2026-05-11 23:26:56] #0367/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:27:47] #0368/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.238 conf=0.500 gap=0.200
[2026-05-11 23:29:01] #0369/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.841 conf=0.700 gap=0.460
[2026-05-11 23:29:05] #0370/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:29:25] #0371/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:29:47] #0373/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.393 conf=0.450 gap=0.100
[2026-05-11 23:30:48] #0374/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:31:09] #0375/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.192 conf=0.650 gap=0.500
[2026-05-11 23:31:58] #0377/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:32:01] #0378/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 23:32:20] #0379/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-11 23:32:24] #0380/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:32:44] #0381/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 23:32:55] #0382/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.366 conf=0.400 gap=0.000
[2026-05-11 23:33:03] #0383/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.129 conf=0.650 gap=0.450
[2026-05-11 23:33:06] #0384/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:33:42] #0386/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:34:22] #0388/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-11 23:34:25] #0389/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:34:45] #0390/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-11 23:35:05] #0391/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:35:26] #0393/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.271 conf=0.500 gap=0.200
[2026-05-11 23:35:52] #0395/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.412 conf=0.350 gap=0.000
[2026-05-11 23:37:23] #0399/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.925 conf=0.750 gap=0.620
[2026-05-11 23:37:26] #0400/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.280 conf=0.400 gap=0.100
[2026-05-11 23:37:29] #0401/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.630 conf=0.350 gap=0.050
[2026-05-11 23:37:43] #0403/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:38:45] #0406/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:38:58] #0407/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:39:26] #0408/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.836 conf=0.800 gap=0.730
[2026-05-11 23:39:37] #0410/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:41:15] #0413/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.334 conf=0.940 gap=0.930
[2026-05-11 23:41:39] #0414/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:41:42] #0415/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.495 conf=0.350 gap=0.000
[2026-05-11 23:41:46] #0416/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 23:42:48] #0417/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-11 23:43:54] #0418/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:44:29] #0420/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.050 conf=0.470 gap=0.030
[2026-05-11 23:45:01] #0422/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:45:04] #0423/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:46:02] #0425/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:46:34] #0426/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-11 23:46:37] #0427/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.249 conf=0.400 gap=0.050
[2026-05-11 23:47:40] #0431/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.799 conf=0.700 gap=0.450
[2026-05-11 23:47:44] #0432/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.617 conf=0.300 gap=0.000
[2026-05-11 23:48:19] #0434/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.307 conf=0.550 gap=0.350
[2026-05-11 23:48:41] #0435/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:49:06] #0436/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:49:11] #0437/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.167 conf=0.400 gap=0.000
[2026-05-11 23:49:21] #0438/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.481 conf=0.400 gap=0.050
[2026-05-11 23:49:41] #0439/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.745 conf=0.820 gap=0.740
[2026-05-11 23:51:11] #0440/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:51:20] #0441/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-11 23:51:57] #0442/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 23:52:57] #0445/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:52:59] #0446/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:53:36] #0448/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.400 conf=0.450 gap=0.150
[2026-05-11 23:53:48] #0449/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.156 conf=0.556 gap=0.253
[2026-05-11 23:53:56] #0450/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-11 23:55:19] #0451/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-11 23:55:22] #0452/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.426 conf=0.450 gap=0.170
[2026-05-11 23:55:47] #0453/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:57:13] #0454/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.715 conf=0.820 gap=0.720
[2026-05-11 23:57:19] #0455/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.754 conf=0.750 gap=0.550
[2026-05-11 23:57:46] #0456/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 23:57:49] #0457/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-11 23:58:06] #0458/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.113 conf=0.700 gap=0.600
[2026-05-11 23:58:10] #0459/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.564 conf=0.350 gap=0.000
[2026-05-11 23:59:09] #0461/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.552 conf=0.880 gap=0.830
[2026-05-11 23:59:50] #0462/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:00:14] #0464/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 00:00:26] #0465/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-12 00:00:58] #0466/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:01:02] #0467/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.263 conf=0.400 gap=0.000
[2026-05-12 00:01:27] #0468/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.998 conf=0.720 gap=0.570
[2026-05-12 00:02:07] #0470/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.759 conf=0.780 gap=0.630
[2026-05-12 00:02:15] #0471/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.176 conf=0.650 gap=0.500
[2026-05-12 00:02:19] #0472/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.228 conf=0.450 gap=0.050
[2026-05-12 00:02:23] #0473/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.221 conf=0.550 gap=0.250
[2026-05-12 00:03:22] #0474/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.591 conf=0.300 gap=0.000
[2026-05-12 00:03:25] #0475/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:04:04] #0478/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.522 conf=0.300 gap=0.000
[2026-05-12 00:05:24] #0481/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:07:02] #0483/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.167 conf=0.400 gap=0.000
[2026-05-12 00:07:40] #0484/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.107 conf=0.700 gap=0.600
[2026-05-12 00:10:35] #0490/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:10:48] #0491/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:10:52] #0492/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:12:11] #0494/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:13:09] #0496/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.169 conf=0.600 gap=0.350
[2026-05-12 00:13:14] #0497/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-12 00:13:29] #0498/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:14:05] #0500/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:16:14] #0503/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:16:38] #0504/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 00:17:29] #0507/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-12 00:17:39] #0508/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.085 conf=0.450 gap=0.000
[2026-05-12 00:17:58] #0509/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:18:34] #0511/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 00:21:20] #0516/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-12 00:21:24] #0517/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 00:22:29] #0519/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:22:45] #0520/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 00:23:35] #0521/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 00:24:27] #0522/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:24:42] #0524/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.052 conf=0.450 gap=0.000
[2026-05-12 00:27:49] #0527/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:28:54] #0528/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:29:14] #0529/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 00:29:32] #0530/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.893 conf=0.680 gap=0.480
[2026-05-12 00:29:40] #0531/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:29:51] #0532/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.735 conf=0.670 gap=0.370
[2026-05-12 00:30:21] #0534/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:30:26] #0535/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 00:31:12] #0538/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 00:31:55] #0540/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.919 conf=0.550 gap=0.150
[2026-05-12 00:31:58] #0541/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:32:05] #0542/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:32:56] #0544/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 00:32:59] #0545/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 00:33:19] #0546/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:33:23] #0547/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:33:42] #0548/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.134 conf=0.450 gap=0.020
[2026-05-12 00:34:09] #0549/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:34:12] #0550/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:34:15] #0551/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.617 conf=0.300 gap=0.000
[2026-05-12 00:34:20] #0552/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-12 00:34:46] #0553/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:34:57] #0554/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 00:35:19] #0555/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:36:16] #0557/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 00:36:19] #0558/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-12 00:37:28] #0560/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:37:31] #0561/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:38:37] #0563/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:39:17] #0565/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.979 conf=0.470 gap=0.010
[2026-05-12 00:39:46] #0566/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.507 conf=0.450 gap=0.200
[2026-05-12 00:40:21] #0568/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.168 conf=0.500 gap=0.200
[2026-05-12 00:41:00] #0571/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:43:08] #0575/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.065 conf=0.700 gap=0.550
[2026-05-12 00:44:08] #0576/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.308 conf=0.550 gap=0.300
[2026-05-12 00:44:36] #0577/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.415 conf=0.550 gap=0.400
[2026-05-12 00:44:42] #0578/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:45:02] #0579/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 00:45:14] #0580/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.214 conf=0.650 gap=0.500
[2026-05-12 00:45:28] #0581/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.042 conf=0.700 gap=0.550
[2026-05-12 00:45:34] #0582/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.748 conf=0.350 gap=0.100
[2026-05-12 00:45:47] #0583/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:46:07] #0585/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:46:18] #0586/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.337 conf=0.420 gap=0.040
[2026-05-12 00:46:30] #0587/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.749 conf=0.720 gap=0.480
[2026-05-12 00:46:39] #0588/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.967 conf=0.520 gap=0.120
[2026-05-12 00:46:58] #0589/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-12 00:47:57] #0591/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 00:48:58] #0594/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.627 conf=0.350 gap=0.050
[2026-05-12 00:49:04] #0595/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:49:17] #0596/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:49:36] #0597/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:49:41] #0598/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.414 conf=0.400 gap=0.050
[2026-05-12 00:49:46] #0599/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:49:52] #0600/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-12 00:50:20] #0601/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.354 conf=0.550 gap=0.350
[2026-05-12 00:50:48] #0602/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.263 conf=0.400 gap=0.000
[2026-05-12 00:50:59] #0603/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.399 conf=0.350 gap=0.000
